uid,createDate,startTime,endTime,cpu_num,mem,gpu_num,worker_num
b211ef3c-15e7-453e-9a4c-849da95eb31c,1728304838,1728304841,1728304842,64m,448Mi,8,1
b211ef3c-15e7-453e-9a4c-849da95eb31c,1728304838,1728304841,1728304842,64m,448Mi,8,1
b211ef3c-15e7-453e-9a4c-849da95eb31c,1728304838,1728304841,1728304842,64m,448Mi,8,1
ed7a702e-b30e-4d3b-aaee-a77c26a2614c,1728304843,1728304845,1728304850,64m,896Mi,8,2
ed7a702e-b30e-4d3b-aaee-a77c26a2614c,1728304843,1728304845,1728304850,64m,896Mi,8,2
ed7a702e-b30e-4d3b-aaee-a77c26a2614c,1728304843,1728304845,1728304850,64m,896Mi,8,2
cdf8e1dd-1afd-4cbb-b251-3577ec5af45d,1728304852,1728304854,1728304858,64m,448Mi,8,1
cdf8e1dd-1afd-4cbb-b251-3577ec5af45d,1728304852,1728304854,1728304858,64m,448Mi,8,1
cdf8e1dd-1afd-4cbb-b251-3577ec5af45d,1728304852,1728304854,1728304858,64m,448Mi,8,1
2ed76717-9149-49ee-8c65-388890987cbb,1728304890,1728304892,1728304909,64m,448Mi,8,1
2ed76717-9149-49ee-8c65-388890987cbb,1728304890,1728304892,1728304909,64m,448Mi,8,1
2ed76717-9149-49ee-8c65-388890987cbb,1728304890,1728304892,1728304909,64m,448Mi,8,1
eccbf57d-8395-43a4-b370-0c46df8bae34,1728304896,1728304898,1728304909,64m,448Mi,8,1
eccbf57d-8395-43a4-b370-0c46df8bae34,1728304896,1728304898,1728304909,64m,448Mi,8,1
eccbf57d-8395-43a4-b370-0c46df8bae34,1728304896,1728304898,1728304909,64m,448Mi,8,1
aa4c003a-369d-4b5c-928a-f08bf96e7499,1728304897,1728304898,1728304910,64m,448Mi,8,1
aa4c003a-369d-4b5c-928a-f08bf96e7499,1728304897,1728304898,1728304910,64m,448Mi,8,1
aa4c003a-369d-4b5c-928a-f08bf96e7499,1728304897,1728304898,1728304910,64m,448Mi,8,1
8c1469d3-73bf-49ce-ab38-efeae91c78a5,1728304852,1728304855,1728304912,64m,896Mi,8,2
8c1469d3-73bf-49ce-ab38-efeae91c78a5,1728304852,1728304855,1728304912,64m,896Mi,8,2
8c1469d3-73bf-49ce-ab38-efeae91c78a5,1728304852,1728304855,1728304912,64m,896Mi,8,2
d46baa01-4472-4846-8868-3f6e6d05503e,1728304909,1728304912,1728304924,64m,448Mi,8,1
d46baa01-4472-4846-8868-3f6e6d05503e,1728304909,1728304912,1728304924,64m,448Mi,8,1
d46baa01-4472-4846-8868-3f6e6d05503e,1728304909,1728304912,1728304924,64m,448Mi,8,1
12222c05-d2e6-49d4-9262-45ca16d3eb70,1728304919,1728304922,1728304925,64m,448Mi,8,1
12222c05-d2e6-49d4-9262-45ca16d3eb70,1728304919,1728304922,1728304925,64m,448Mi,8,1
12222c05-d2e6-49d4-9262-45ca16d3eb70,1728304919,1728304922,1728304925,64m,448Mi,8,1
a5dffc4f-32f0-445f-a633-178bbab35981,1728304921,1728304924,1728304931,64m,896Mi,8,1
a5dffc4f-32f0-445f-a633-178bbab35981,1728304921,1728304924,1728304931,64m,896Mi,8,1
a5dffc4f-32f0-445f-a633-178bbab35981,1728304921,1728304924,1728304931,64m,896Mi,8,1
9a7450ed-be79-4bd3-a4dc-4cb0c8075df5,1728304911,1728304913,1728304946,64m,896Mi,8,2
9a7450ed-be79-4bd3-a4dc-4cb0c8075df5,1728304911,1728304913,1728304946,64m,896Mi,8,2
9a7450ed-be79-4bd3-a4dc-4cb0c8075df5,1728304911,1728304913,1728304946,64m,896Mi,8,2
35542dc0-7072-452f-a6bc-fc206d2234a3,1728304933,1728304937,1728304952,64m,448Mi,8,1
35542dc0-7072-452f-a6bc-fc206d2234a3,1728304933,1728304937,1728304952,64m,448Mi,8,1
35542dc0-7072-452f-a6bc-fc206d2234a3,1728304933,1728304937,1728304952,64m,448Mi,8,1
13b0162c-5df9-4fca-a7d4-69c69d7d097f,1728304932,1728304935,1728304956,64m,448Mi,8,1
